访客ID,事件名称,事件时间
3,updateflow,2023/5/10 13:25
3,updateflow,2023/5/10 13:25
3,广告SDK初始化结果,2023/5/10 13:25
3,usr_data_type,2023/5/10 13:26
3,travelBtn,2023/5/10 13:26
3,usr_data_game_start,2023/5/10 13:26
3,SDK监控游戏请求展示广告,2023/5/10 13:29
3,Max实时收益,2023/5/10 13:29
3,show成功,2023/5/10 13:29
3,SDK监控广告关闭,2023/5/10 13:30
3,usr_data_ad,2023/5/10 13:30
3,关闭应用,2023/5/10 13:31
3,开启应用,2023/5/10 14:29
3,s_moudle_data_af_conversion_success,2023/5/10 14:29
3,updateflow,2023/5/10 14:29
3,广告SDK初始化结果,2023/5/10 14:29
3,updateflow,2023/5/10 14:29
3,updateflow,2023/5/10 14:29
3,usr_data_type,2023/5/10 14:29
3,关闭应用,2023/5/10 14:31
3,开启应用,2023/5/10 20:29
3,travelBtn,2023/5/10 20:29
3,usr_data_game_end,2023/5/10 20:29
3,SDK关键行为监控,2023/5/10 20:29
3,SDK关键行为监控,2023/5/10 20:29
3,usr_data_game_die,2023/5/10 20:29
3,SDK监控游戏请求展示广告,2023/5/10 20:29
3,show失败,2023/5/10 20:29
3,s_jni_stage,2023/5/10 20:29
3,usr_data_end_next_click,2023/5/10 20:30
3,usr_data_game_start,2023/5/10 20:30
3,SDK监控游戏请求展示广告,2023/5/10 20:33
3,usr_data_goon_game,2023/5/10 20:33
3,usr_data_ad,2023/5/10 20:33
3,Max实时收益,2023/5/10 20:33
3,show成功,2023/5/10 20:33
3,SDK监控广告关闭,2023/5/10 20:34
3,SDK监控游戏请求展示广告,2023/5/10 20:35
3,Max实时收益,2023/5/10 20:35
3,show成功,2023/5/10 20:35
3,SDK监控广告关闭,2023/5/10 20:36
3,usr_data_ad,2023/5/10 20:36
3,usr_data_game_end,2023/5/10 20:36
3,gameid8,2023/5/10 20:36
3,usr_data_game_die,2023/5/10 20:36
3,topsocre1200,2023/5/10 20:36
3,usr_data_topscore,2023/5/10 20:36
3,SDK监控游戏请求展示广告,2023/5/10 20:36
3,Max实时收益,2023/5/10 20:36
3,show成功,2023/5/10 20:36
3,关闭应用,2023/5/10 20:36
3,开启应用,2023/5/10 20:36
3,SDK监控广告关闭,2023/5/10 20:37
3,usr_data_end_next_click,2023/5/10 20:37
3,usr_data_game_start,2023/5/10 20:37
3,SDK监控游戏请求展示广告,2023/5/10 20:39
3,Max实时收益,2023/5/10 20:39
3,show成功,2023/5/10 20:39
